nome,email,telefone
Joana Silva,joana.silva@gmail.com,915785369
Carlos Mendes,carlos.mendes@gmail,936578412
Ana Costa,,912345678
Pedro Dias,pedro.dias@gmail.com,934565789
,mariana.rocha@gmail.com,938765432
Luis Faria,luis.faria@gmail.com,
Beatriz Lopes,beatriz.lopes@gmail.com,928654321
Sofia,sofia.carvalho@gmail.com,932198765
André Sousa,andre.sousa@gmail.com,91123
Fernanda Alves,fernanda.alves@@gmail.com,934567891
Paulo,CORRETO@GMAIL.COM,936 123 999
Mariana Costa,mariana.costa@gmail.com,938765430
Gonçalo Mendes,goncalo.mendes@gmail.com,92959987 9
Helena Pinto,helena.pinto@hotmail.com,912000123
João Rodrigues,joao.rodrigues@gmail,912-567-890
Rita Gomes,rita.gomes@domain..com,915 222 333
Miguel Sousa,miguel.sousa@gmailcom,917456789
Isabel Martins,isabel.martins@@hotmail.com,930123456
Rafael Silva,rafael.silva@gmail.com,9234567a9
Carla Ferreira,carla.ferreira@gmail.com,91234567
Bruno Costa,bruno.costa@gmail.com,9123456789
Sónia Alves,sonia.alves@gmail.com,919876543
Vasco Pereira,vasco.pereira@gmail,911223344
Daniela Lopes,daniela.lopes@gmail.com,934567812
