nome,email,telefone
Joana Silva,joana.silva@gmail.com,915785369
Carlos Mendes,carlos.mendes@gmail,936578412
Pedro Dias,pedro.dias@gmail.com,934565789
Beatriz Lopes,beatriz.lopes@gmail.com,928654321
Sofia,sofia.carvalho@gmail.com,932198765
Fernanda Alves,fernanda.alves@gmail.com,934567891
Paulo,correto@gmail.com,936123999
Mariana Costa,mariana.costa@gmail.com,938765430
Gonçalo Mendes,goncalo.mendes@gmail.com,929599879
Helena Pinto,helena.pinto@hotmail.com,912000123
João Rodrigues,joao.rodrigues@gmail,912567890
Rita Gomes,rita.gomes@domain..com,915222333
Miguel Sousa,miguel.sousa@gmailcom,917456789
Isabel Martins,isabel.martins@hotmail.com,930123456
Sónia Alves,sonia.alves@gmail.com,919876543
Vasco Pereira,vasco.pereira@gmail,911223344
Daniela Lopes,daniela.lopes@gmail.com,934567812
